gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000004809	0.1508201	0.0187898	0.64031258	0.8514113	NA
ENSG00000004838	30.01486	-0.6093743	0.39674903	0.02552804	0.05489716
ENSG00000004846	25.6214	0.7845109	0.4227636	0.006256464	0.01550983
ENSG00000004848	8.473037	0.1613026	0.44176895	0.5176397	0.6530803
ENSG00000004864	2613.555	-0.1392783	0.05373412	0.009007217	0.02160072
ENSG00000004866	550.7566	-0.8845982	0.10896708	4.624993e-17	4.059287e-16
ENSG00000004897	6549.976	-0.1666839	0.04891111	0.0006045423	0.001795561
ENSG00000004939	2.534123	0.04180083	0.53083968	0.8388971	0.9030279
ENSG00000004948	3.124937	0.1127789	0.52188712	0.6040629	0.7288991
ENSG00000004961	1454.066	-0.5154318	0.07840132	2.249853e-11	1.39212e-10
ENSG00000004975	2756.486	-0.1403776	0.04971536	0.004482057	0.01142389
ENSG00000005001	1.127796	0.04975705	0.59697302	0.7458096	NA
ENSG00000005007	5700.712	-0.4535916	0.04644112	8.659727e-23	1.015826e-21
ENSG00000005020	1887.195	0.648935	0.10394583	1.233404e-10	7.255413e-10
ENSG00000005022	13825.33	-0.2164392	0.03035154	8.757961e-13	5.986506e-12
ENSG00000005059	1151.51	0.1185897	0.07702835	0.1178886	0.2059713
ENSG00000005073	679.0181	0.02917865	0.09439806	0.7517433	0.8429748
ENSG00000005075	1936.487	-0.426138	0.0594851	4.654276e-13	3.226409e-12
ENSG00000005100	3206.024	-0.4172066	0.05235575	9.745402e-16	7.978935e-15
ENSG00000005102	35.40287	0.3568247	0.32418714	0.146148	0.2456209
ENSG00000005108	19.65627	0.3769111	0.40628493	0.1530933	0.2550784
ENSG00000005156	2575.608	-0.5218397	0.06255929	3.335917e-17	2.953732e-16
ENSG00000005175	2612.715	-0.3739706	0.05881058	1.360865e-10	7.979666e-10
ENSG00000005187	37.40942	0.7281308	0.42238058	0.01044603	0.02470965
ENSG00000005189	389.534	1.39918	0.13007145	3.299455e-29	5.13779e-28
ENSG00000005194	1703.888	-1.398293	0.06164448	3.591333e-116	5.179266e-114
ENSG00000005206	1084.609	0.179925	0.11722669	0.1114677	0.1966055
ENSG00000005238	60.60689	0.8814537	0.30098451	0.0002656962	0.000832869
ENSG00000005243	4.523376	0.4759928	0.68183855	0.05495079	0.1074997
ENSG00000005249	1191.742	0.1353208	0.07215725	0.05727362	0.1114515
ENSG00000005302	1182.837	0.2620721	0.07758186	0.000596126	0.001772234
ENSG00000005339	3533.405	-0.1771949	0.0583028	0.002163875	0.005848348
ENSG00000005379	1.575051	0.04236117	0.57425803	0.8069482	0.881582
ENSG00000005436	1336.802	-0.4181724	0.07984053	9.752919e-08	4.523821e-07
ENSG00000005448	1405.697	-0.03287032	0.07714229	0.6652047	0.7764541
ENSG00000005469	397.5014	-0.5458276	0.12503401	5.142497e-06	2.023706e-05
ENSG00000005471	95.01157	1.404076	0.26482167	8.636621e-10	4.770139e-09
ENSG00000005483	1410.775	-0.07576113	0.06458457	0.2356697	0.3621963
ENSG00000005486	1002.032	0.3211306	0.07544458	1.536872e-05	5.710857e-05
ENSG00000005513	243.2091	-0.2168099	0.15253289	0.1305715	0.2241957
ENSG00000005700	2543.46	0.10045	0.05297927	0.05613313	0.1095311
ENSG00000005801	979.2029	0.03487765	0.09072302	0.694503	0.7991492
ENSG00000005810	4457.117	-0.5188335	0.08397731	2.942964e-10	1.687101e-09
ENSG00000005812	2776.86	-0.06481541	0.05302018	0.2181546	0.3402931
ENSG00000005844	9.287559	0.2675672	0.49643118	0.2816251	0.416911
ENSG00000005882	1697.564	0.01161173	0.08553325	0.8899558	0.9351157
ENSG00000005884	329.6499	0.221354	0.15363236	0.1250513	0.2163275
ENSG00000005889	1559.33	-0.1210717	0.07365677	0.09545686	0.1727855
ENSG00000005893	3609.739	0.06340074	0.04810084	0.1848246	0.2966577
ENSG00000005961	424.4502	0.7595746	0.129819	8.648535e-10	4.775523e-09
ENSG00000005981	2.010497	0.2427869	0.63403581	0.1933983	0.3079995
ENSG00000006007	3153.426	-0.520036	0.05229267	1.221198e-23	1.484613e-22
ENSG00000006015	838.8234	-0.01163915	0.08839639	0.8931111	0.9370214
ENSG00000006016	51.20471	0.7868416	0.34186548	0.002409112	0.006463951
ENSG00000006025	275.0541	-0.06140525	0.19298761	0.7257025	0.8237371
ENSG00000006042	2478.903	-0.1153537	0.05438297	0.03254497	0.06809907
ENSG00000006047	30.99724	1.235897	0.47836055	0.0001561847	0.0005082915
ENSG00000006062	237.3155	-0.08347051	0.15789118	0.5725773	0.7018454
ENSG00000006071	161.2212	0.8699339	0.19297387	6.25972e-07	2.68979e-06
ENSG00000006118	2162.006	0.2583875	0.06033538	1.525987e-05	5.673276e-05
ENSG00000006125	12553.23	0.03486941	0.03351331	0.2967143	0.4336911
ENSG00000006128	19.5778	1.296159	0.60397804	0.0004106904	0.001249743
ENSG00000006194	890.4082	-0.4508472	0.08481749	5.853766e-08	2.777707e-07
ENSG00000006210	0.5349814	0.0190803	0.62484051	0.8732676	NA
ENSG00000006282	729.642	0.2059576	0.13175618	0.1016687	0.1822508
ENSG00000006283	174.762	0.8200593	0.18661166	1.37591e-06	5.736859e-06
ENSG00000006327	236.2789	-0.06828459	0.14751219	0.6241668	0.7454931
ENSG00000006377	301.5569	-0.3444864	0.13730693	0.008282936	0.02002224
ENSG00000006432	639.3095	-0.5455153	0.10202397	3.695348e-08	1.787327e-07
ENSG00000006451	2367.02	-0.1630826	0.05398222	0.002331161	0.006268227
ENSG00000006453	912.7173	0.3486268	0.08943398	6.758729e-05	0.0002312831
ENSG00000006459	947.7809	0.5161036	0.11565813	3.634358e-06	1.458038e-05
ENSG00000006468	122.7285	-2.547009	0.24935455	1.236253e-26	1.736342e-25
ENSG00000006530	2572.898	-0.01707752	0.06679183	0.7958965	0.8735022
ENSG00000006534	13.56664	0.3759962	0.43921478	0.1570777	0.2604584
ENSG00000006555	0.321895	0.001154357	0.63951404	0.9908106	NA
ENSG00000006576	1077.732	0.08056434	0.10108517	0.4130615	0.5548981
ENSG00000006606	0.9995949	0.1559862	0.62965843	0.3167009	NA
ENSG00000006607	2030.273	-0.407074	0.06372026	1.039092e-10	6.158359e-10
ENSG00000006611	237.5691	2.044724	0.16566788	1.206121e-36	2.443806e-35
ENSG00000006625	2060.211	-0.1823656	0.05441195	0.0007300016	0.002134844
ENSG00000006634	1226.262	-0.5716855	0.07819617	1.021952e-13	7.439583e-13
ENSG00000006638	133.8046	-0.1853925	0.18820303	0.2794	0.414479
ENSG00000006652	1605.528	-0.1636124	0.06351868	0.009228822	0.02208851
ENSG00000006695	714.1203	-0.3592116	0.09342139	8.205345e-05	0.0002775578
ENSG00000006704	890.2002	0.142632	0.09779465	0.1347486	0.2297703
ENSG00000006712	2984.575	-0.8791822	0.04857415	3.356476e-74	2.029058e-72
ENSG00000006715	1854.386	0.05175445	0.06063825	0.388854	0.5307146
ENSG00000006740	650.4947	0.3048572	0.1003959	0.001803862	0.004951755
ENSG00000006744	3627.717	-0.5733579	0.05631899	9.379269e-25	1.20743e-23
ENSG00000006747	180.8693	0.3875902	0.16984112	0.01363284	0.03146864
ENSG00000006756	5.679528	0.2496334	0.5799826	0.2477975	0.3767936
ENSG00000006757	244.2832	0.01741448	0.15201123	0.9031608	0.9433807
ENSG00000006831	4914.354	-0.01607094	0.04011981	0.6874991	0.7934342
ENSG00000006837	70.37443	0.09460909	0.25429677	0.658399	0.7714345
ENSG00000007047	1152.83	0.2738602	0.08814519	0.00150943	0.004192018
ENSG00000007062	4.248858	0.131875	0.53322432	0.5379443	0.6710997
ENSG00000007080	3454.116	-0.6354554	0.04734068	1.386582e-41	3.422252e-40
ENSG00000007129	0.1605971	0.0187898	0.64031258	0.8514113	NA
ENSG00000007168	5429.713	-0.1364941	0.04826706	0.004437022	0.01131956
ENSG00000007171	284.9337	1.121112	0.14461647	2.110588e-16	1.785664e-15
ENSG00000007202	11499.15	-0.3744332	0.04266199	1.131454e-18	1.078891e-17
ENSG00000007237	360.3099	1.071314	0.22389576	5.320308e-08	2.535477e-07
ENSG00000007255	374.7708	0.7462412	0.1310919	2.348993e-09	1.250737e-08
ENSG00000007264	263.2124	-0.6545862	0.14439607	1.570439e-06	6.50859e-06
ENSG00000007306	0.1508201	0.0187898	0.64031258	0.8514113	NA
ENSG00000007312	2.213796	0.2846812	0.63556451	0.1571243	0.2605161
ENSG00000007314	38.53295	0.2467819	0.36929024	0.3314829	0.470728
ENSG00000007341	517.6318	-0.02169498	0.10768432	0.8355175	0.9007961
ENSG00000007350	57.01742	1.067164	0.34736612	6.603279e-05	0.0002263849
ENSG00000007372	1191.274	0.01266747	0.09734684	0.8939014	0.9373679
ENSG00000007376	1642.172	-0.8966785	0.06968212	6.415574e-39	1.438614e-37
ENSG00000007384	319.4322	0.15409	0.1396285	0.2453779	0.3739907
ENSG00000007392	1213.641	-0.4000339	0.07142398	1.340631e-08	6.733672e-08
ENSG00000007402	664.4168	0.1306467	0.09335209	0.1521742	0.2538538
ENSG00000007516	412.8843	0.6820603	0.1303726	4.138019e-08	1.992263e-07
ENSG00000007520	1886.29	-0.4072861	0.05869073	2.442874e-12	1.619652e-11
ENSG00000007541	1831.782	-0.1469686	0.07115514	0.0363299	0.07491068
ENSG00000007545	1290.623	-0.07240558	0.07766206	0.3435955	0.4831573
ENSG00000007866	520.5561	0.2772524	0.10612056	0.007077786	0.0173543
ENSG00000007908	0.3425149	-0.004999412	0.6395677	0.9602192	NA
ENSG00000007923	3932.931	-0.949912	0.04673527	5.400008e-93	4.944033e-91
ENSG00000007944	587.668	-0.4356828	0.10061713	8.455882e-06	3.237533e-05
ENSG00000007952	0.1605971	0.0187898	0.64031258	0.8514113	NA
ENSG00000007968	2094.944	-0.1836616	0.05731984	0.001228129	0.003465747
ENSG00000008018	7190.348	-0.2610129	0.03683676	1.145326e-12	7.759172e-12
ENSG00000008056	59.75453	0.2934224	0.2515091	0.1675135	0.2745439
ENSG00000008083	1990.384	0.01843793	0.06031836	0.7576424	0.8469996
ENSG00000008086	400.1754	0.2682435	0.13557946	0.03768012	0.07736942
ENSG00000008118	3.261046	0.9140948	1.16489411	0.003263612	0.008544329
ENSG00000008128	1364.32	-0.2824131	0.10086026	0.004001235	0.01030671
ENSG00000008130	3658.935	-0.213029	0.05921391	0.0002817376	0.0008795333
ENSG00000008196	1.814975	0.0210703	0.57088509	0.9040052	0.943918
ENSG00000008197	0.4986531	-0.03781645	0.62846761	0.7484859	NA
ENSG00000008226	8.764816	0.2489913	0.46555988	0.3240249	0.4628777
ENSG00000008256	1384.722	0.2039561	0.06452101	0.001391524	0.003891011
ENSG00000008277	604.606	0.3683193	0.11959142	0.001362511	0.003814236
ENSG00000008282	1887.735	-0.2023672	0.05959085	0.0006073947	0.001803063
ENSG00000008283	917.7883	-0.1767348	0.10677376	0.08802981	0.161153
ENSG00000008294	7346.993	0.245373	0.04302199	9.923805e-09	5.030296e-08
ENSG00000008300	564.1551	-0.01349338	0.12044039	0.9073846	0.9457012
ENSG00000008311	1275.556	-0.3417665	0.06986	7.111324e-07	3.043277e-06
ENSG00000008323	1.065836	0.2196888	0.66985321	0.162663	NA
ENSG00000008324	530.2031	-0.4948277	0.10107795	4.73103e-07	2.055329e-06
ENSG00000008382	488.7641	0.06539545	0.10725973	0.5298489	0.6642669
ENSG00000008394	1282.5	-0.9650885	0.08129703	1.055913e-33	1.93511e-32
ENSG00000008405	1407.123	-0.7573179	0.07423743	3.67842e-25	4.819735e-24
ENSG00000008438	0.1914305	-0.02852766	0.64136154	0.7763441	NA
ENSG00000008441	921.733	-0.3014022	0.08310884	0.0002195298	0.000698173
ENSG00000008513	471.8029	0.4495137	0.14772353	0.001238342	0.003492332
ENSG00000008516	42.13905	0.2253042	0.3312881	0.3593781	0.5001373
ENSG00000008517	17.88323	0.4818165	0.43676179	0.07789618	0.1454128
ENSG00000008710	2287.147	-0.2422057	0.17470855	0.1327358	0.227322
ENSG00000008735	2009.623	-0.3683754	0.06228858	2.260258e-09	1.204652e-08
ENSG00000008838	3974.234	-0.7194304	0.05504158	1.085394e-39	2.513035e-38
ENSG00000008853	714.4812	-0.362452	0.08756057	2.361075e-05	8.588382e-05
ENSG00000008869	1469.451	0.4498896	0.07748446	3.539311e-09	1.857633e-08
ENSG00000008952	2467.413	-0.3504445	0.05900077	2.009453e-09	1.074354e-08
ENSG00000008988	15104.2	-0.177176	0.03561759	6.000576e-07	2.580447e-06
ENSG00000009307	33175.51	-0.04994533	0.03936813	0.2027346	0.3203939
ENSG00000009335	8020.169	-0.01489034	0.03681051	0.6847876	0.7914224
ENSG00000009413	1484.995	0.2253469	0.0743577	0.002099286	0.005692608
ENSG00000009694	9.805755	-0.4817897	0.53609437	0.07896761	0.1470769
ENSG00000009709	186.8143	0.4235571	0.19170583	0.014736	0.03370477
ENSG00000009724	21.49343	-0.8577792	0.558391	0.007219275	0.01766001
ENSG00000009765	0.5371768	-0.04328797	0.62747893	0.7186452	NA
ENSG00000009780	473.0639	-0.3929879	0.1150097	0.0003951531	0.001206289
ENSG00000009790	4.884606	0.1309123	0.49188615	0.5742307	0.703247
ENSG00000009830	1507.755	-0.2116453	0.06860588	0.001784097	0.004902988
ENSG00000009844	3779.175	0.1898311	0.04530875	2.523316e-05	9.136358e-05
ENSG00000009950	406.4728	-0.5472474	0.14410893	5.796818e-05	0.0002000732
ENSG00000009954	7411.369	-0.5171655	0.04364037	9.923337e-33	1.754475e-31
ENSG00000010017	2088.66	-0.04925612	0.05319908	0.3509629	0.4908055
ENSG00000010030	2.110401	-0.02967253	0.55270754	0.8757573	0.925725
ENSG00000010072	1485.769	-0.5199316	0.06307983	7.717806e-17	6.670325e-16
ENSG00000010165	1355.233	-0.7742344	0.07778062	4.205031e-24	5.239075e-23
ENSG00000010219	673.1374	0.03820779	0.1020608	0.7005057	0.8042384
ENSG00000010244	7172.27	-0.7878844	0.04149047	3.465679e-81	2.474764e-79
ENSG00000010256	5338.23	-0.3003734	0.05034989	1.88705e-09	1.012345e-08
ENSG00000010270	1315.643	0.1286452	0.06496541	0.04525308	0.09076532
ENSG00000010278	1840.981	0.06107524	0.05601679	0.2716608	0.4054789
ENSG00000010282	0.4908535	0.01835318	0.63512634	0.8637239	NA
ENSG00000010292	10109.43	-0.04246977	0.04439422	0.3362682	0.475656
ENSG00000010295	1073.093	-0.7205124	0.07712478	2.078038e-21	2.284599e-20
ENSG00000010310	81.95435	0.4041249	0.26229334	0.06462258	0.1238024
ENSG00000010318	222.434	0.4280261	0.15458917	0.00312856	0.0082161
ENSG00000010319	136.2309	-0.3179744	0.19307321	0.06888078	0.1306952
ENSG00000010322	2472.721	-0.07467041	0.06237703	0.2265529	0.3509471
ENSG00000010327	6.110844	-0.02023229	0.46969168	0.9314743	0.9612348
ENSG00000010361	1168.224	0.005476502	0.07133814	0.9379958	0.9655431
ENSG00000010379	14.83321	0.1327631	0.4209432	0.5965756	0.7227894
ENSG00000010404	2314.2	0.2491373	0.07708365	0.001022813	0.002921473
ENSG00000010539	522.8593	0.0477564	0.09873255	0.6198142	0.7421424
ENSG00000010610	2.492055	0.261189	0.62390447	0.1882263	0.3010883
ENSG00000010626	270.2165	0.7847162	0.16554196	3.222383e-07	1.422607e-06
ENSG00000010671	18.08824	0.3801574	0.45966312	0.1529794	0.2549079
ENSG00000010704	0.3652192	-0.05199581	0.64502419	0.609098	NA
ENSG00000010803	1158.144	0.00198779	0.08187572	0.9802908	0.9892576
ENSG00000010810	2549.516	0.5462628	0.06766052	2.871703e-16	2.415712e-15
ENSG00000010818	979.8736	0.5895956	0.0877923	6.740837e-12	4.336343e-11
ENSG00000010932	0.4623589	0.06340946	0.64330207	0.5550924	NA
ENSG00000011007	4348.51	-0.6589407	0.04428079	1.256882e-50	4.286416e-49
ENSG00000011009	1754.964	-0.7509061	0.06811006	5.629871e-29	8.705192e-28
ENSG00000011021	856.3903	-0.8607971	0.09863772	2.926813e-19	2.866406e-18
ENSG00000011028	1107.609	0.5883422	0.08144468	1.836859e-13	1.312935e-12
ENSG00000011052	209.4048	0.09776539	0.17222205	0.5395125	0.6723801
ENSG00000011105	1248.37	0.03381157	0.07241297	0.6359767	0.7544125
ENSG00000011114	1510.703	-0.8243483	0.07593844	2.573035e-28	3.862178e-27
ENSG00000011132	475.6171	-0.1999157	0.1156799	0.07335118	0.1379908
ENSG00000011143	1334.243	0.1478706	0.07082171	0.03436861	0.07147487
ENSG00000011198	492.222	-0.4693483	0.10613273	5.048464e-06	1.98883e-05
ENSG00000011201	555.3918	0.4353686	0.10839112	3.335786e-05	0.0001189465
ENSG00000011243	2083.5	-0.6181115	0.0634679	6.801582e-23	8.02388e-22
ENSG00000011258	2133.288	0.5976413	0.05600444	4.945482e-27	7.053786e-26
ENSG00000011260	3199.397	-0.8111813	0.04914639	4.980905e-62	2.252124e-60
ENSG00000011275	2291.742	-0.134056	0.05488317	0.01381615	0.03184513
ENSG00000011295	5889.743	0.5341984	0.04059728	6.716306e-40	1.57153e-38
ENSG00000011304	19054.1	-0.5864827	0.03088101	7.466572e-81	5.280446e-79
ENSG00000011332	490.4769	-0.5305057	0.10495314	1.863245e-07	8.421242e-07
ENSG00000011347	449.4481	0.5062012	0.11512648	5.073049e-06	1.997445e-05
ENSG00000011376	2059.064	-1.029829	0.05781656	2.435156e-72	1.410282e-70
ENSG00000011405	3065.376	0.09487731	0.0521085	0.06669324	0.127102
ENSG00000011422	163.4327	0.3199702	0.16866084	0.04061364	0.0825631
ENSG00000011426	4478.327	-0.3106319	0.04584559	9.439306e-12	6.003986e-11
ENSG00000011451	3083.419	-0.1295058	0.05215861	0.01239312	0.02886061
ENSG00000011454	1756.41	0.1023692	0.06545579	0.113747	0.1999703
ENSG00000011465	4.684778	0.4676165	0.61496304	0.07285219	0.1372041
ENSG00000011478	665.3098	-0.2439813	0.09898389	0.01139086	0.02673253
ENSG00000011485	4567.035	-0.2694495	0.04241566	1.728175e-10	1.006657e-09
ENSG00000011523	1240.241	0.01432565	0.07253236	0.8413061	0.9042975
ENSG00000011566	976.1481	-0.04593577	0.08526867	0.5830064	0.7107988
ENSG00000011590	1.047204	-0.06593284	0.61119994	0.6435746	NA
ENSG00000011600	0.4687481	-0.06323472	0.6474024	0.5379924	NA
ENSG00000011638	410.1422	0.7073073	0.13408437	2.934395e-08	1.430883e-07
ENSG00000012048	4358.155	0.3377052	0.0500219	1.061471e-11	6.724479e-11
ENSG00000012061	1508.721	0.1205576	0.06216537	0.05010432	0.09930404
ENSG00000012124	4.64634	0.424028	0.67948412	0.06842145	0.1299242
ENSG00000012171	113.7133	0.4665656	0.23960462	0.0233834	0.05076122
ENSG00000012174	1675.227	0.7419885	0.07249794	2.794474e-25	3.676809e-24
ENSG00000012211	241.5142	-0.5070196	0.18408839	0.002539622	0.006797279
ENSG00000012223	0.1562494	-0.02852766	0.64136154	0.7763441	NA
ENSG00000012232	2485.986	-0.4396188	0.08989133	5.682538e-07	2.449408e-06
ENSG00000012504	0.1508201	0.0187898	0.64031258	0.8514113	NA
ENSG00000012660	4113.162	0.4220757	0.05283187	8.165572e-16	6.707868e-15
ENSG00000012779	54.41806	1.348435	0.39789626	7.3949e-06	2.850104e-05
ENSG00000012817	0.1508201	0.0187898	0.64031258	0.8514113	NA
ENSG00000012822	1140.622	1.059194	0.07485669	6.589374e-47	1.983554e-45
ENSG00000012963	2694.501	-0.4548832	0.06788613	1.13885e-11	7.187848e-11
ENSG00000012983	1857.409	-0.6202312	0.06163734	2.656117e-24	3.339442e-23
ENSG00000013016	459.9053	-0.2101165	0.10943364	0.04745904	0.09463928
ENSG00000013275	3073.352	-0.8199192	0.05820785	6.552374e-46	1.902344e-44
ENSG00000013288	674.8945	0.3838986	0.10560203	0.0001779264	0.000573382
ENSG00000013297	2.18113	-0.1474757	0.56218668	0.4613592	0.6012534
ENSG00000013306	4913.305	-0.3041916	0.04242105	5.752223e-13	3.97006e-12
ENSG00000013364	92.45255	0.9451863	0.24024742	5.087436e-06	2.002752e-05
ENSG00000013374	3256.188	-0.6650979	0.0488898	1.059894e-42	2.754602e-41
ENSG00000013375	2540.235	0.04918875	0.05074657	0.3291558	0.4682973
ENSG00000013392	417.7854	0.4783829	0.12814876	9.383771e-05	0.0003145267
ENSG00000013441	717.4279	-0.377099	0.12404599	0.001522005	0.004224813
ENSG00000013503	1223.441	-0.2605419	0.0818291	0.001186847	0.003356546
ENSG00000013523	2512.621	-1.001786	0.06581393	1.295516e-53	4.717091e-52
ENSG00000013561	1782.551	-0.1412889	0.07530057	0.05683867	0.110712
ENSG00000013563	586.8117	0.2802783	0.10008649	0.004012714	0.01033024
ENSG00000013573	2663.403	-0.100886	0.07466417	0.1703626	0.2781011
ENSG00000013583	1174.844	0.9276253	0.07803309	1.082446e-33	1.982089e-32
ENSG00000013588	740.5238	0.255015	0.12206889	0.02969447	0.06270537
ENSG00000013619	108.2663	0.5530781	0.20613295	0.002639473	0.007044023
ENSG00000013725	7.165758	0.6051298	0.62715505	0.03537481	0.07325623
ENSG00000013810	5915.254	-0.7854388	0.04476131	1.049315e-69	5.702745e-68
ENSG00000014123	1678.547	0.1416935	0.06722972	0.03293773	0.06883431
ENSG00000014138	3176.629	0.2827852	0.05832024	9.884223e-07	4.169287e-06
ENSG00000014164	1180.678	-0.387818	0.07697769	3.03218e-07	1.341858e-06
ENSG00000014216	3263.249	0.5406014	0.0619651	1.150163e-18	1.095311e-17
ENSG00000014257	32.03907	0.5735921	0.38346372	0.03242159	0.06786022
ENSG00000014641	5256.327	-0.4267975	0.0405301	3.7274e-26	5.105219e-25
ENSG00000014824	3446.507	0.08551388	0.06380063	0.1755299	0.2844413
ENSG00000014914	137.0305	1.286568	0.22441474	1.033638e-10	6.127677e-10
ENSG00000014919	2659.997	-0.05466839	0.05543409	0.3201723	0.4587678
ENSG00000015133	949.5005	-0.6577008	0.08745082	1.532233e-14	1.177184e-13
ENSG00000015153	520.0166	-0.1811116	0.11884481	0.113669	0.199881
ENSG00000015171	1540.189	0.1122183	0.0694677	0.1018488	0.1825435
ENSG00000015285	7.262822	0.2029922	0.47047471	0.4108975	0.5525967
ENSG00000015413	6.268399	-0.5094094	0.60611766	0.06040741	0.1167698
ENSG00000015475	1306.743	-0.750873	0.06819683	6.615231e-29	1.020735e-27
ENSG00000015479	16689.51	-0.5808403	0.04207385	8.996557e-44	2.423798e-42
ENSG00000015520	70.95121	0.4056262	0.24863836	0.05465145	0.1069882
ENSG00000015532	825.5099	0.2706928	0.08651988	0.001409958	0.003936573
ENSG00000015568	1692.575	0.3461686	0.1073012	0.0008711037	0.002514509
ENSG00000015592	0.9502131	0.09008189	0.61934704	0.5228021	NA
ENSG00000015676	2543.041	0.0004379059	0.05921025	0.9940451	0.996665
ENSG00000016082	296.4325	-0.7883342	0.14399644	6.685787e-09	3.437937e-08
